"","Latitude","Longitude","Weight","Year"
"1",52.3,181.1,0,2021
"2",52.3,183.1,0,2021
"3",52.3,185.1,0,2021
"4",52.3,187.1,0,2021
"5",52.3,189.1,0,2021
"6",52.3,191.1,0,2021
"7",52.3,193.1,0,2021
"8",52.3,195.1,0,2021
"9",52.3,197.1,0,2021
"10",52.3,199.1,0,2021
"11",52.3,201.1,0,2021
"12",54.3,181.1,0,2021
"13",54.3,183.1,0,2021
"14",54.3,185.1,0,2021
"15",54.3,187.1,0,2021
"16",54.3,189.1,161.16,2021
"17",54.3,191.1,217.67,2021
"18",54.3,193.1,2199.53,2021
"19",54.3,195.1,49885.07,2021
"20",54.3,197.1,22068.52,2021
"21",54.3,199.1,0,2021
"22",54.3,201.1,0,2021
"23",56.3,181.1,0,2021
"24",56.3,183.1,0,2021
"25",56.3,185.1,129.63,2021
"26",56.3,187.1,4578547.82,2021
"27",56.3,189.1,2978084.98,2021
"28",56.3,191.1,18635831.03,2021
"29",56.3,193.1,21289016.66,2021
"30",56.3,195.1,29740836.64,2021
"31",56.3,197.1,904931.98,2021
"32",56.3,199.1,0,2021
"33",56.3,201.1,0,2021
"34",58.3,181.1,247.82,2021
"35",58.3,183.1,43.2,2021
"36",58.3,185.1,2177.56,2021
"37",58.3,187.1,22298.12,2021
"38",58.3,189.1,1603121.96,2021
"39",58.3,191.1,162243.31,2021
"40",58.3,193.1,1070291.52,2021
"41",58.3,195.1,4288931.88,2021
"42",58.3,197.1,154632.94,2021
"43",58.3,199.1,0,2021
"44",58.3,201.1,0,2021
"45",60.3,181.1,29.48,2021
"46",60.3,183.1,204.92,2021
"47",60.3,185.1,2003.53,2021
"48",60.3,187.1,62414.44,2021
"49",60.3,189.1,13211.32,2021
"50",60.3,191.1,0,2021
"51",60.3,193.1,0,2021
"52",60.3,195.1,0,2021
"53",60.3,197.1,0,2021
"54",60.3,199.1,0,2021
"55",60.3,201.1,0,2021
"56",62.3,181.1,0,2021
"57",62.3,183.1,0,2021
"58",62.3,185.1,0,2021
"59",62.3,187.1,0,2021
"60",62.3,189.1,555.48,2021
"61",62.3,191.1,0,2021
"62",62.3,193.1,0,2021
"63",62.3,195.1,0,2021
"64",62.3,197.1,0,2021
"65",62.3,199.1,0,2021
"66",62.3,201.1,0,2021
"67",64.3,181.1,0,2021
"68",64.3,183.1,0,2021
"69",64.3,185.1,0,2021
"70",64.3,187.1,0,2021
"71",64.3,189.1,0,2021
"72",64.3,191.1,0,2021
"73",64.3,193.1,0,2021
"74",64.3,195.1,0,2021
"75",64.3,197.1,0,2021
"76",64.3,199.1,0,2021
"77",64.3,201.1,0,2021
"78",66.3,181.1,0,2021
"79",66.3,183.1,0,2021
"80",66.3,185.1,0,2021
"81",66.3,187.1,0,2021
"82",66.3,189.1,0,2021
"83",66.3,191.1,0,2021
"84",66.3,193.1,0,2021
"85",66.3,195.1,0,2021
"86",66.3,197.1,0,2021
"87",66.3,199.1,0,2021
"88",66.3,201.1,0,2021
"89",52.3,181.1,0,2020
"90",52.3,183.1,0,2020
"91",52.3,185.1,0,2020
"92",52.3,187.1,0,2020
"93",52.3,189.1,0,2020
"94",52.3,191.1,0,2020
"95",52.3,193.1,113.89,2020
"96",52.3,195.1,0,2020
"97",52.3,197.1,0,2020
"98",52.3,199.1,0,2020
"99",52.3,201.1,0,2020
"100",54.3,181.1,0,2020
"101",54.3,183.1,0,2020
"102",54.3,185.1,0,2020
"103",54.3,187.1,0,2020
"104",54.3,189.1,458.98,2020
"105",54.3,191.1,395.66,2020
"106",54.3,193.1,1863.94,2020
"107",54.3,195.1,70219.33,2020
"108",54.3,197.1,120604.14,2020
"109",54.3,199.1,0,2020
"110",54.3,201.1,0,2020
"111",56.3,181.1,0,2020
"112",56.3,183.1,0,2020
"113",56.3,185.1,316.36,2020
"114",56.3,187.1,17222927.76,2020
"115",56.3,189.1,5415108.2,2020
"116",56.3,191.1,13641289.18,2020
"117",56.3,193.1,30002728.69,2020
"118",56.3,195.1,37252984.57,2020
"119",56.3,197.1,3905924.42,2020
"120",56.3,199.1,0,2020
"121",56.3,201.1,0,2020
"122",58.3,181.1,4831.59,2020
"123",58.3,183.1,344.26,2020
"124",58.3,185.1,17428.22,2020
"125",58.3,187.1,32964.1,2020
"126",58.3,189.1,3019732.19,2020
"127",58.3,191.1,1265324.64,2020
"128",58.3,193.1,1708114.67,2020
"129",58.3,195.1,1627476.96,2020
